Date,Buy-and-Hold SPY,Regime-Based Allocation_econ,Regime-Based Allocation_market
2006-08-01,1034416.7460590447,1048590.919171409,1879843.4146870105
2006-09-01,1057695.6463612032,1072188.8003524106,1922148.1120934368
2006-10-01,1095828.9364266233,1110844.614687464,1991447.6613156775
2006-11-01,1117620.186752896,1132934.4612571138,2031048.8554955928
2006-12-01,1126288.8535855454,1141721.9111477595,2046802.40581422
2007-01-01,1149598.294932201,1165350.751864213,2089162.6053976885
2007-02-01,1127045.9273646222,1142489.3587871243,2048178.2344282204
2007-03-01,1135603.011845969,1151163.6973609226,2063729.0063704427
2007-04-01,1190609.4117003356,1206923.826538402,2163692.0231388984
2007-05-01,1230994.3080096184,1247862.0999208938,2237083.4117345056
2007-06-01,1207790.8569920338,1224340.7018739514,2194915.828156997
2007-07-01,1175017.1330958086,1191117.893565847,2135356.207456916
2007-08-01,1190095.71993501,1206403.0958731014,2162758.492155467
2007-09-01,1230333.5890751514,1247192.32743563,2235882.6885804688
2007-10-01,1252940.5003672682,1270109.0116267367,2276966.181747809
2007-11-01,1204411.2968484582,1220914.8330538187,
2007-12-01,1184561.424578849,1200792.9664193853,
2008-01-01,1118848.5389594482,,
2008-02-01,1089934.5148387335,,
2008-03-01,1074866.6818884392,,
2008-04-01,1131672.250372559,,
2008-05-01,1148778.8485974618,,
2008-06-01,1047529.6940682078,,
2008-07-01,1043309.0077498559,,
2008-08-01,1059432.012279738,,
2008-09-01,954138.5352102122,,
2008-10-01,801138.484107732,,
2008-11-01,745373.806038731,,
2008-12-01,746614.8908497491,,
2009-01-01,690870.1289830047,,
2009-02-01,616636.8081356533,,
2009-03-01,663262.0141156415,,2449132.383688359
2009-04-01,734373.4379976372,,2711715.325833482
2009-05-01,777300.2955512806,,2870225.167686532
2009-06-01,772427.6654718103,,2852232.706385583
2009-07-01,834744.3869431627,1297668.6794188789,3082340.7140095006
2009-08-01,865579.2276849505,1345603.601403819,3196200.102003065
2009-09-01,892021.3198858688,1386709.6877748726,3293839.018334027
2009-10-01,879039.2251969307,1366528.1113131521,3245901.9017283353
2009-11-01,933194.5192676149,1450716.3131620986,3445873.378511196
2009-12-01,945926.1773916791,1470508.5684238186,3492885.7439807765
2010-01-01,916456.994510012,1424696.6573385028,3384069.124635315
2010-02-01,945045.21881239,1469139.0565419893,3489632.754755844
2010-03-01,998467.3557529277,1552187.514225218,3686897.007498189
2010-04-01,1018089.5036710352,1582691.5190134358,3759352.8950373493
2010-05-01,937197.4608433713,1456939.1665165543,3460654.465976711
2010-06-01,884497.6411129618,1375013.6015833097,3266057.410259027
2010-07-01,949405.1894998701,1475916.936684491,3505732.192346698
2010-08-01,906700.292213274,1409529.1795058504,3348041.9512944617
2010-09-01,982639.3519035518,1527581.7724264949,3628451.210857268
2010-10-01,1025639.5939950988,1594428.6638131745,3787232.0292541515
2010-11-01,1025639.5939950988,1594428.6638131745,3787232.0292541515
2010-12-01,1088481.5354006856,1692120.8680273714,4019279.441098597
2011-01-01,1119701.1933031338,1740654.015270849,4134559.7881549667
2011-02-01,1158596.7190143059,1801119.837233131,4278183.7098819325
2011-03-01,1153723.7448103903,1793544.4571539743,4260189.977882068
2011-04-01,1192294.4170454491,1853505.2716098316,4402614.359832339
2011-05-01,1178923.1176091768,1832718.6490784439,
2011-06-01,1153317.333840804,1792912.6628053647,
2011-07-01,1135849.0608241695,1765757.007575103,
2011-08-01,1073405.0993392656,1668683.4910528339,
2011-09-01,993747.3448648305,1544849.926345855,
2011-10-01,1107914.070749579,1722330.1067816487,4908408.985994186
2011-11-01,1103412.062697411,1715331.4195964811,4888463.669510094
2011-12-01,1107914.070749579,1722330.1067816487,4908408.985994186
2012-01-01,1166645.7897836699,1813632.6821221868,5168609.036774999
2012-02-01,1217284.304088321,1892353.8032381828,5392953.636426288
2012-03-01,1250955.160412752,1944697.510299734,5542126.156310559
2012-04-01,1248049.4596299895,1940180.3946934082,5529252.984817149
2012-05-01,1173096.6605991812,1823661.0131217176,5197188.430352807
2012-06-01,1214410.0046611677,1887885.503240926,5380219.5828483505
2012-07-01,1235142.9862878474,1920116.3769176377,5472073.234687969
2012-08-01,1266086.3122609323,1968219.946801307,5609161.934319773
2012-09-01,1291289.9866152818,2007400.825795512,5720822.1658729855
2012-10-01,1274558.4840354668,1981390.531869546,5646696.329059319
2012-11-01,1281771.9346211753,1992604.3465917849,5678654.191685759
2012-12-01,1284116.0243096412,1996248.398373445,5689039.248789564
2013-01-01,1359423.6156432799,2113319.329456919,6022675.645126262
2013-02-01,1376769.2082952594,2140284.269458324,6099522.094763613
2013-03-01,1422718.596880755,2211715.8158556586,6303092.387612582
2013-04-01,1456501.7238053787,2264234.055437306,6452762.301687791
2013-05-01,1490888.8751621495,2317691.2933512116,6605108.23462474
2013-06-01,1463251.7247947366,2274727.4052662426,6482666.936339843
2013-07-01,1547010.2382184293,2404935.8872934626,6853743.584607534
2013-08-01,1500612.283418831,2332807.0132641112,6648186.0018646605
2013-09-01,1540592.31731853,2394958.7792481063,6825310.169554729
2013-10-01,1619788.7729743961,2518075.2225966505,7176175.462146547
2013-11-01,1667794.9933678645,2592704.2582587088,7388858.169031473
2013-12-01,1701796.553283974,2645562.067241525,7539495.81019541
2014-01-01,1650725.0443963578,2566167.8256859537,7313232.907890492
2014-02-01,1725858.422729698,2682967.9304451407,7646097.485655046
2014-03-01,1732528.9309722527,2693337.7032253654,7675649.942351215
2014-04-01,1752272.0386327899,2724029.7484145453,7763118.140121161
2014-05-01,1792936.3639914407,2787245.293452062,7943273.934933617
2014-06-01,1821223.9095599696,2831220.2664810377,8068596.689221183
2014-07-01,1805361.3212038674,2806560.7606416414,7998320.416643888
2014-08-01,1876606.7815572042,2917316.824291099,8313960.290748036
2014-09-01,1842106.0691335718,2863683.0477361763,8161111.246445541
