Feature,Group,Importance
M2REAL 9M Lag,Money and Credit,0.0002876958
CE16OV 6M Lag,Labor Market,0.00028517612
HOUSTW 1M Lag,Housing,0.0002840334
DTCOLNVHFNM 6M Lag,Money and Credit,0.00028184455
NONBORRES,Money and Credit,0.00028090834
UEMPLT5 3M Lag,Labor Market,0.00027997288
IPNMAT 6M Lag,Output and Income,0.00027475055
DPCERA3M086SBEA 9M Lag,"Consumption, Orders and Inventories",0.00026805227
CES3000000008,Labor Market,0.0002670658
S&P PE ratio 3M Lag,Stock Market,0.00026503345
CP3Mx 1M Lag,Interest and Exchange Rates,0.00026477213
INDPRO 6M Lag,Output and Income,0.00026401482
WPSFD49207 12M Lag,Prices,0.00026248433
CONSPI 1M Lag,Money and Credit,0.00026130799
FEDFUNDS 9M Lag,Interest and Exchange Rates,0.00026028426
BAA 3M Lag,Interest and Exchange Rates,0.0002572094
GS1 1M Lag,Interest and Exchange Rates,0.0002543178
CES0600000008 1M Lag,Labor Market,0.0002541104
CPITRNSL 1M Lag,Prices,0.00025208242
M2SL 1M Lag,Money and Credit,0.00024783853
SRVPRD 3M Lag,Labor Market,0.00024530123
CPIAUCSL 9M Lag,Prices,0.0002440223
USTPU 3M Lag,Labor Market,0.0002421985
GS10 9M Lag,Interest and Exchange Rates,0.00024038517
M2SL 6M Lag,Money and Credit,0.00023909201
IPFINAL,Output and Income,0.00023474083
USFIRE,Labor Market,0.00023385174
INVEST,Money and Credit,0.00023306906
TB6SMFFM 3M Lag,Interest and Exchange Rates,0.00023264883
IPFINAL 3M Lag,Output and Income,0.0002315144
IPNMAT 12M Lag,Output and Income,0.00023118201
S&P div yield 3M Lag,Stock Market,0.00022908316
CES0600000007 6M Lag,Labor Market,0.0002271937
IPFUELS 1M Lag,Output and Income,0.00022424043
NDMANEMP 6M Lag,Labor Market,0.00022186506
CUSR0000SAS 9M Lag,Prices,0.00022088904
BUSINVx,"Consumption, Orders and Inventories",0.00022014209
CE16OV 1M Lag,Labor Market,0.00021966652
IPMANSICS,Output and Income,0.00021916024
M2REAL 3M Lag,Money and Credit,0.00021678273
DSERRG3M086SBEA,Prices,0.00021580479
