Date,Buy-and-Hold SPY,Regime-Based Allocation_econ,Regime-Based Allocation_market
2006-08-01,-0.056990534726836684,-0.04406848606286007,-0.0019212425844976622
2006-09-01,-0.03576774623035184,-0.022554881921531877,0.0
2006-10-01,-0.001004360805049731,0.0,0.0
2006-11-01,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0
2007-02-01,-0.019617609944661774,-0.019617609944661996,-0.019617609944661774
2007-03-01,-0.01217391603691087,-0.01217391603691087,-0.01217391603691087
2007-04-01,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0
2007-06-01,-0.01884956521593284,-0.018849565215932507,-0.01884956521593273
2007-07-01,-0.045473275302487015,-0.04547327530248668,-0.045473275302486904
